[[0.015, 0.16, 0.135, 0.01], [54, 45]]
[[0.065, 0.145, 0.135, 0.04], [54, 45]]
[[0.075, 0.17, 0.165, 0.0], [59, 40]]
[[0.105, 0.15, 0.17, 0.02], [57, 42]]
[[0.075, 0.15, 0.18, 0.01], [54, 45]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.01, 0.025, 0.015], [27, 72]]
[[0.025, 0.02, 0.005, 0.03], [56, 43]]
[[0.0, 0.085, 0.03, 0.005], [70, 29]]
[[0.005, 0.13, 0.035, 0.015], [72, 27]]
[[0.0, 0.12, 0.04, 0.015], [68, 31]]
[[0.02, 0.1, 0.03, 0.015], [72, 27]]
[[0.005, 0.12, 0.06, 0.02], [60, 39]]
[[0.035, 0.09, 0.075, 0.015], [58, 41]]
[[0.065, 0.07, 0.035, 0.015], [72, 27]]
[[0.07, 0.05, 0.03, 0.0], [80, 19]]
[[0.045, 0.035, 0.06, 0.02], [50, 50]]
[[0.085, 0.02, 0.055, 0.05], [50, 50]]
[[0.1, 0.025, 0.03, 0.065], [56, 43]]
[[0.12, 0.045, 0.01, 0.085], [63, 36]]
[[0.105, 0.04, 0.045, 0.095], [50, 49]]
[[0.1, 0.05, 0.035, 0.1], [52, 47]]
[[0.1, 0.075, 0.03, 0.115], [54, 45]]
[[0.11, 0.135, 0.07, 0.13], [55, 44]]
[[0.08, 0.16, 0.1, 0.14], [50, 50]]
[[0.06, 0.15, 0.125, 0.15], [43, 56]]
[[0.06, 0.085, 0.165, 0.165], [30, 69]]
[[0.05, 0.025, 0.18, 0.135], [19, 80]]
[[0.095, 0.035, 0.18, 0.145], [28, 71]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.015, 0.0, 0.025, 0.01], [30, 70]]
